Species,count
Candida albicans,9353
Candida glabrata,4055
Candida parapsilosis,3238
Candida tropicalis,2027
Aspergillus fumigatus,1928
Candida krusei,612
Candida dubliniensis,476
Cryptococcus neoformans var. grubii,413
Candida lusitaniae,392
Aspergillus flavus species complex,287
Aspergillus niger species complex,175
Candida kefyr,168
Candida orthopsilosis,157
Candida guilliermondii,132
Aspergillus niger,128
Cryptococcus neoformans,100
Trichosporon asahii,90
Saccharomyces cerevisiae,85
Candida auris,76
Candida metapsilosis,71
Aspergillus terreus,70
Fusarium solani species complex,59
Scedosporium apiospermum / Scedosporium boydii,54
Cryptococcus neoformans var. neoformans,51
Candida pelliculosa,49
Candida fermentati,47
Rhodotorula mucilaginosa,46
Aspergillus nidulans,46
Aspergillus terreus species complex,42
Rhizopus microsporus group,41
Gibberella fujikuroi species complex,36
Geotrichum clavatum,34
Candida fabianii,28
Lomentospora prolificans,27
Magnusiomyces capitatus,24
Aspergillus tubingensis,22
Candida inconspicua,20
Sarocladium kiliense,20
Paecilomyces lilacinus,19
Scedosporium aurantiacum,19
Exophiala dermatitidis,18
Fusarium oxysporum species complex,18
Candida lipolytica,17
Aspergillus nidulans species complex,17
Rhizopus oryzae,17
Candida haemulonii,16
Cryptococcus gattii,14
Scedosporium apiospermum,14
Candida nivariensis,13
Pichia cactophila,12
Aspergillus versicolor,12
Candida pararugosa,12
Candida bracarensis,12
Paecilomyces variotii,12
Aspergillus lentulus,10
Rhizopus oryzae species complex,10
Aspergillus sydowii,10
Aspergillus ustus species complex,10
Aspergillus flavus,10
Scedosporium boydii,10
Rhizomucor pusillus,9
Lichtheimia corymbifera,9
Trichosporon mycotoxinivorans,9
Rasamsonia argillacea,9
Unspeciated Curvularia,9
Mucor circinelloides,9
Candida utilis,9
Candida rugosa,8
Candida norvegensis,8
Kodamaea ohmeri,8
Yarrowia lipolytica,7
Aspergillus ustus,7
Lodderomyces elongisporus,6
Unspeciated Mucor,6
Cryptococcus gattii species complex,6
Rasamsonia argillacea species complex,6
Candida duobushaemulonii,5
Aspergillus unguis,5
Lichtheimia ramosa,5
Unspeciated Paecilomyces,5
Unspeciated Lichtheimia,5
Pichia norvegensis,4
Aspergillus parasiticus,4
Fusarium solani,4
Unspeciated Rhizopus,4
Purpureocillium lilacinum,4
Unspeciated Candida,4
Penicillium subgenus terverticillata,4
Penicillium subgenus aspergilloides,4
Aspergillus alabamensis,4
Candida catenulata,4
Fusarium incarnatum-equiseti species complex,3
Scedosporium dehoogii,3
Verruconis gallopava,3
Scopulariopsis brevicaulis,3
Scopulariopsis brevicaulis / Scopulariopsis brumptii,3
Aspergillus tamarii,3
Unspeciated Scopulariopsis,3
Pichia kluyveri,3
Aspergillus thermomutatus,3
Blastobotrys adeninivorans,3
Candida quercitrusa,3
Aspergillus nomius,3
Trichosporon mucoides,3
Microascus cirrosus,2
Debaryomyces fabryi,2
Aureobasidium pullulans,2
Medicopsis romeroi,2
Aspergillus sclerotiorum,2
Candida sphaerica,2
Fusarium annulatum,2
Candida theae,2
Trichosporon capitatum,2
Trichosporon inkin,2
Aspergillus brasiliensis,2
Alternaria alternata,2
Exophiala attenuata,2
Exophiala phaeomuriformis,2
Pleurostomophora richardsiae,2
Geotrichum silvicola,2
Aspergillus hiratsukae,2
Mucor circinelloides/ Mucor ramosissimus,2
Cryptococcus laurentii,2
Candida cacao,2
Candida inconspicua/Pichia cactophila,2
Aspergillus ochraceus species complex,2
Candida intermedia,2
Candida pseudohaemulonii,2
Aspergillus udagawae,2
Aspergillus foetidus,1
Penicillium roqueforti group,1
Malassezia pachydermatis,1
Acremonium strictum genogroup III,1
Penicillium variabile,1
Wangiella dermatitidis,1
Phialemonium curvatum,1
Coprinellus radians,1
Penicillium subgenus furcatum,1
Aspergillus clavatus,1
Rhizomucor miehei,1
Pichia myanmarensis,1
Trichoderma longibrachiatum,1
Pichia manshurica,1
Aspergillus aculeatus,1
Candida blankii,1
Aspergillus piperis,1
Aspergillus versicolor species complex,1
Fonsecaea pedrosoi,1
Epicoccum nigrum,1
Candida thasaenensis,1
Candida fluviatilis,1
Pichia onychis,1
Unspeciated Phaeoacremonium,1
Trichosporon montevideense,1
Unspeciated Scedosporium,1
Trichosporon loubieri,1
Unspeciated Rhodotorula,1
Unspeciated Phialemoniopsis,1
Trichosporon ovoides,1
Apiotrichum mycotoxinivorans,1
Candida sojae,1
Unspeciated Cunninghamella,1
Candida spencermartinsiae,1
Mucor indicus,1
Penicillium citrinum,1
Aspergillus hortai,1
Unspeciated Corpinellus,1
Unspeciated Syncephalastrum,1
Fusarium petroliphilum,1
Trichomonascus ciferrii complex,1
Unspeciated Coprinellus,1
Aspergillus fumisynnematus,1
Aspergillus welwitschiae,1
Fusarium dimerum species complex,1
Monascus ruber,1
Unspeciated Chaetomium,1
Phaeoacremonium parasiticum,1
Aspergillus melleus,1
Unspeciated Sarocladium,1
Pseudopithomyces sacchari,1
Fusarium falciforme,1
Candida digboiensis,1
Penicillium georgiense,1
Aspergillus caelatus,1
Unspeciated Fusarium,1
Cunninghamella bertholletiae,1
Fusarium dimerum,1
Unspeciated Aspergillus,1
Unspeciated Trichosporon,1
Wickerhamomyces anomalus,1
Fusarium musae,1
